"Var1"	"Var2"	"weight"
"267"	"ph_1601"	"AACY020393406"	0.892843278943808
"268"	"ph_1619"	"AACY020393406"	0.961324333895258
"269"	"ph_1683"	"AACY020393406"	0.964213456257867
"270"	"ph_1687"	"AACY020393406"	0.926121889700341
"271"	"ph_20075"	"AACY020393406"	0.821959329439428
"272"	"ph_2118"	"AACY020393406"	0.856326332310027
"273"	"ph_21720"	"AACY020393406"	0.882520547060876
"274"	"ph_2346"	"AACY020393406"	0.849926361626869
"275"	"ph_2350"	"AACY020393406"	0.994872507175551
"276"	"ph_2458"	"AACY020393406"	0.949956944514491
"277"	"ph_2470"	"AACY020393406"	0.834236221808928
"278"	"ph_2677"	"AACY020393406"	0.958163885990608
"279"	"ph_2773"	"AACY020393406"	0.907347607838743
"280"	"ph_2911"	"AACY020393406"	0.91916858294943
"281"	"ph_2919"	"AACY020393406"	0.863016547913241
"282"	"ph_2966"	"AACY020393406"	0.850875356589584
"283"	"ph_3050"	"AACY020393406"	0.941841945352521
"284"	"ph_318"	"AACY020393406"	0.901935942820376
"285"	"ph_3219"	"AACY020393406"	0.92823560967912
"286"	"ph_32287"	"AACY020393406"	0.903872848794836
"287"	"ph_32390"	"AACY020393406"	0.903664890244934
"288"	"ph_3242"	"AACY020393406"	0.858775128269819
"289"	"ph_3369"	"AACY020393406"	0.848739579275099
"290"	"ph_3530"	"AACY020393406"	0.852307834400871
"291"	"ph_3531"	"AACY020393406"	0.878324365734858
"292"	"ph_3534"	"AACY020393406"	0.936828805596514
"293"	"ph_3542"	"AACY020393406"	0.862555981546087
"294"	"ph_3766"	"AACY020393406"	0.89403519161787
"295"	"ph_394"	"AACY020393406"	0.84296731361257
"296"	"ph_4094"	"AACY020393406"	0.842457762286468
"297"	"ph_4100"	"AACY020393406"	0.939817385861627
"298"	"ph_4165"	"AACY020393406"	0.996033102316972
"299"	"ph_4379"	"AACY020393406"	0.801496552557531
"300"	"ph_4380"	"AACY020393406"	0.969148504507607
"301"	"ph_4384"	"AACY020393406"	0.803517398362178
"302"	"ph_4386"	"AACY020393406"	0.839220559276898
"303"	"ph_4409"	"AACY020393406"	0.940746501313523
"304"	"ph_4587"	"AACY020393406"	0.948908144486122
"305"	"ph_4646"	"AACY020393406"	0.855247455593123
"306"	"ph_487"	"AACY020393406"	0.879499913653523
"307"	"ph_509"	"AACY020393406"	0.890833617667867
"308"	"ph_5265"	"AACY020393406"	0.812834814578268
"309"	"ph_5631"	"AACY020393406"	0.854273239147356
"310"	"ph_6011"	"AACY020393406"	0.918249239920572
"311"	"ph_6439"	"AACY020393406"	0.933805777061341
"312"	"ph_6494"	"AACY020393406"	0.800360128682405
"313"	"ph_6800"	"AACY020393406"	0.894083872194218
"314"	"ph_6951"	"AACY020393406"	0.952496969836371
"315"	"ph_9222"	"AACY020393406"	0.830208932824699
"316"	"ph_9998"	"AACY020393406"	0.84147647048386
"317"	"ph_1120"	"AACY020396101"	0.802158334614032
"318"	"ph_12634"	"AACY020396101"	0.80297269640177
"319"	"ph_13890"	"AACY020396101"	0.810845088291367
"320"	"ph_1487"	"AACY020396101"	0.844786957715927
"321"	"ph_25338"	"AACY020396101"	0.815622817892237
"322"	"ph_25342"	"AACY020396101"	0.825874898629154
"323"	"ph_2560"	"AACY020396101"	0.823123639762937
"324"	"ph_2698"	"AACY020396101"	0.805745043801313
"325"	"ph_27069"	"AACY020396101"	0.833619434478372
"326"	"ph_2840"	"AACY020396101"	0.810962577349846
"327"	"ph_3301"	"AACY020396101"	0.853295272075733
"328"	"ph_3840"	"AACY020396101"	0.812840238909052
"329"	"ph_4054"	"AACY020396101"	0.832556322878637
"330"	"ph_4558"	"AACY020396101"	0.825602433702189
"331"	"ph_4841"	"AACY020396101"	0.811559121329212
"332"	"ph_5893"	"AACY020396101"	0.813570325310555
"333"	"ph_6280"	"AACY020396101"	0.816967778720467
"334"	"ph_8345"	"AACY020396101"	0.812198873867566
"335"	"ph_864"	"AACY020396101"	0.845396617078263
"336"	"ph_8962"	"AACY020396101"	0.803670302948824
"337"	"ph_8990"	"AACY020396101"	0.807797673223046
"338"	"ph_945"	"AACY020396101"	0.800306135632448
"339"	"ph_1060"	"AACY020398456"	0.830513661004918
"340"	"ph_10996"	"AACY020398456"	0.882379429476185
"341"	"ph_11038"	"AACY020398456"	0.878756257288708
"342"	"ph_11040"	"AACY020398456"	0.902920099813956
"343"	"ph_11048"	"AACY020398456"	0.879438957720393
"344"	"ph_11096"	"AACY020398456"	0.881346188471532
"345"	"ph_1113"	"AACY020398456"	0.821515028647404
"346"	"ph_1208"	"AACY020398456"	0.897716048399411
"347"	"ph_1313"	"AACY020398456"	0.83377198870762
"348"	"ph_13136"	"AACY020398456"	0.851848088236443
"349"	"ph_13207"	"AACY020398456"	0.902060187785081
"350"	"ph_1346"	"AACY020398456"	0.862340927064353
"351"	"ph_14679"	"AACY020398456"	0.898873072232304
"352"	"ph_1469"	"AACY020398456"	0.847818087810863
"353"	"ph_1572"	"AACY020398456"	0.817097309102763
"354"	"ph_16045"	"AACY020398456"	0.878020640406853
"355"	"ph_1909"	"AACY020398456"	0.880547514952203
"356"	"ph_1918"	"AACY020398456"	0.865562201961429
"357"	"ph_19894"	"AACY020398456"	0.882063146135341
"358"	"ph_2087"	"AACY020398456"	0.890114132227665
"359"	"ph_2117"	"AACY020398456"	0.868117325218151
"360"	"ph_2231"	"AACY020398456"	0.844439151760776
"361"	"ph_2346"	"AACY020398456"	0.822464400634781
"362"	"ph_2363"	"AACY020398456"	0.905902767642535
"363"	"ph_276"	"AACY020398456"	0.894035170426969
"364"	"ph_2773"	"AACY020398456"	0.812020363793592
"365"	"ph_2775"	"AACY020398456"	0.883976738076485
"366"	"ph_2798"	"AACY020398456"	0.844710109053909
"367"	"ph_3217"	"AACY020398456"	0.881573317246575
"368"	"ph_3336"	"AACY020398456"	0.915100468572291
"369"	"ph_3493"	"AACY020398456"	0.886924853367675
"370"	"ph_3541"	"AACY020398456"	0.846632698608174
"371"	"ph_3892"	"AACY020398456"	0.886722450796528
"372"	"ph_4194"	"AACY020398456"	0.902001068066305
"373"	"ph_4602"	"AACY020398456"	0.894899360674797
"374"	"ph_4646"	"AACY020398456"	0.82232785355783
"375"	"ph_4678"	"AACY020398456"	0.877768027403121
"376"	"ph_4687"	"AACY020398456"	0.81952713959132
"377"	"ph_484"	"AACY020398456"	0.883294685746703
"378"	"ph_4993"	"AACY020398456"	0.871599522318858
"379"	"ph_4999"	"AACY020398456"	0.851295968615491
"380"	"ph_5001"	"AACY020398456"	0.90220432892235
"381"	"ph_5010"	"AACY020398456"	0.854496077916908
"382"	"ph_5286"	"AACY020398456"	0.9066925941617
"383"	"ph_5287"	"AACY020398456"	0.870495491655608
"384"	"ph_5302"	"AACY020398456"	0.89723224950511
"385"	"ph_5321"	"AACY020398456"	0.881718966513331
"386"	"ph_5617"	"AACY020398456"	0.865311184127171
"387"	"ph_5643"	"AACY020398456"	0.879973661726916
"388"	"ph_5668"	"AACY020398456"	0.838851420411547
"389"	"ph_6025"	"AACY020398456"	0.850661813376886
"390"	"ph_6441"	"AACY020398456"	0.837257138390976
"391"	"ph_646"	"AACY020398456"	0.818182523647002
"392"	"ph_654"	"AACY020398456"	0.863094355893541
"393"	"ph_6954"	"AACY020398456"	0.895695661277303
"394"	"ph_7389"	"AACY020398456"	0.867961202724499
"395"	"ph_7920"	"AACY020398456"	0.885647766086368
"396"	"ph_8039"	"AACY020398456"	0.866558484558715
"397"	"ph_8695"	"AACY020398456"	0.866052143332505
"398"	"ph_987"	"AACY020398456"	0.839031676954556
"399"	"ph_1119"	"AACY020403290"	0.934293404702114
"400"	"ph_11227"	"AACY020403290"	0.888053666554801
"401"	"ph_12362"	"AACY020403290"	0.859440338468929
"402"	"ph_12363"	"AACY020403290"	0.873933679547478
"403"	"ph_1364"	"AACY020403290"	0.803817264454048
"404"	"ph_15039"	"AACY020403290"	0.868111104240635
"405"	"ph_1531"	"AACY020403290"	0.855863597697376
"406"	"ph_1648"	"AACY020403290"	0.853406767161932
"407"	"ph_16481"	"AACY020403290"	0.86043261918301
"408"	"ph_1800"	"AACY020403290"	0.828789522166103
"409"	"ph_1927"	"AACY020403290"	0.880082244459092
"410"	"ph_2008"	"AACY020403290"	0.853952330899391
"411"	"ph_2126"	"AACY020403290"	0.85876585532566
"412"	"ph_2140"	"AACY020403290"	0.853776378160074
"413"	"ph_2142"	"AACY020403290"	0.860184579790994
"414"	"ph_2286"	"AACY020403290"	0.861502065405883
"415"	"ph_2297"	"AACY020403290"	0.858521458165357
"416"	"ph_2485"	"AACY020403290"	0.857521187390771
"417"	"ph_2809"	"AACY020403290"	0.803997691827709
"418"	"ph_2813"	"AACY020403290"	0.931334180107921
"419"	"ph_3239"	"AACY020403290"	0.860848678124101
"420"	"ph_3246"	"AACY020403290"	0.858162469151129
"421"	"ph_3256"	"AACY020403290"	0.864359381642188
"422"	"ph_3267"	"AACY020403290"	0.83878077860426
"423"	"ph_33749"	"AACY020403290"	0.856688634613624
"424"	"ph_3593"	"AACY020403290"	0.905319911848769
"425"	"ph_3929"	"AACY020403290"	0.856813992883937
"426"	"ph_4251"	"AACY020403290"	0.862957959551513
"427"	"ph_4252"	"AACY020403290"	0.875086277824456
"428"	"ph_4434"	"AACY020403290"	0.83664001585874
"429"	"ph_5043"	"AACY020403290"	0.856637573703208
"430"	"ph_6178"	"AACY020403290"	0.870084332883609
"431"	"ph_6185"	"AACY020403290"	0.859500074322934
"432"	"ph_6616"	"AACY020403290"	0.889537924424218
"433"	"ph_6632"	"AACY020403290"	0.878803894037286
"434"	"ph_7043"	"AACY020403290"	0.866334054798015
"435"	"ph_8161"	"AACY020403290"	0.859645047133613
"436"	"ph_8165"	"AACY020403290"	0.875901424866427
"437"	"ph_8168"	"AACY020403290"	0.866118246383277
"438"	"ph_1119"	"AACY020430088"	0.862934937853767
"439"	"ph_11227"	"AACY020430088"	0.800339008116993
"440"	"ph_1927"	"AACY020430088"	0.817767856399955
"441"	"ph_2813"	"AACY020430088"	0.909058355530198
"442"	"ph_3239"	"AACY020430088"	0.850394787494376
"443"	"ph_3267"	"AACY020430088"	0.905488961756139
"444"	"ph_3593"	"AACY020430088"	0.803192395238861
"445"	"ph_6616"	"AACY020430088"	0.809672442336304
"446"	"ph_1060"	"AACY020481938"	0.862048357616063
"447"	"ph_10996"	"AACY020481938"	0.826895880823674
"448"	"ph_11038"	"AACY020481938"	0.814125282820219
"449"	"ph_11040"	"AACY020481938"	0.881627815170131
"450"	"ph_11048"	"AACY020481938"	0.813137761941893
"451"	"ph_11096"	"AACY020481938"	0.819771871252552
"452"	"ph_1208"	"AACY020481938"	0.879751802249863
"453"	"ph_1313"	"AACY020481938"	0.903030534296769
"454"	"ph_13136"	"AACY020481938"	0.894961603996688
"455"	"ph_13207"	"AACY020481938"	0.853395713149046
"456"	"ph_1346"	"AACY020481938"	0.808746161532506
"457"	"ph_1376"	"AACY020481938"	0.80685333929584
"458"	"ph_1402"	"AACY020481938"	0.827653364993198
"459"	"ph_1422"	"AACY020481938"	0.800154373645282
"460"	"ph_14679"	"AACY020481938"	0.889599804073369
"461"	"ph_1469"	"AACY020481938"	0.894460293261929
"462"	"ph_16045"	"AACY020481938"	0.814596560586444
"463"	"ph_1909"	"AACY020481938"	0.840104819513975
"464"	"ph_1918"	"AACY020481938"	0.877169840248409
"465"	"ph_19894"	"AACY020481938"	0.812334454289321
